Name,Age,Nominating party,Political party,Votes 2002,Percentual gain 2002,Ballot rank,Final rank,Mandate
Audrlická Helena MUDr.,57,US-DEU,US-DEU,1985.0,5.67,2,,
Aust Bohumil,59,ČSNS,BEZPP,405.0,1.89,28,,
Báleš Martin,34,US-DEU,US-DEU,770.0,2.20,21,,
Bartoš Adam,22,ODS,ODS,6904.0,2.24,36,23,
Bartoš Jiří,22,SZ,BEZPP,376.0,2.31,20,,
Bartošková Petra,26,SOP,BEZPP,109.0,7.27,10,,
Bartošová Marie,53,VPM,BEZPP,4290.0,2.34,33,26,
Bažantová Gabriela,23,SOP,BEZPP,150.0,10.01,3,,
Bedřich Tomáš Ing.,42,ČSNS,ČSNS,513.0,2.39,7,,
Běla Martin,24,ČSSD,ČSSD,3696.0,2.51,26,20,
Belada Evžen Ing.,75,US-DEU,US-DEU,756.0,2.16,24,,
Benada Emil Ing.,71,US-DEU,US-DEU,736.0,2.10,22,,
Berák Miroslav,41,KSČM,KSČM,4177.0,2.80,2,3,*
Beran Petr,62,ČSSD,ČSSD,3478.0,2.36,31,25,
Beránková Jitka,38,VPM,BEZPP,4513.0,2.46,25,18,
Beranová Taťana MUDr.,49,ČSSD,ČSSD,4272.0,2.90,15,9,
Berg Jiří,28,US-DEU,US-DEU,954.0,2.72,10,,
Bernhard Jan,57,ODS,ODS,7955.0,2.58,23,10,
Bieliková Eva,26,SOP,BEZPP,91.0,6.07,9,,
Bílek František Ing.,30,US-DEU,US-DEU,721.0,2.06,31,,
Bílý Petr,50,VPM,BEZPP,4406.0,2.41,26,19,
Bitnar Pavel,25,SZ,BEZPP,352.0,2.16,28,,
Bláha Jiří Ing. Bc.,48,ODS,ODS,7879.0,2.56,28,15,
Bláha Václav Ing.,35,KDU-ČSL,BEZPP,1889.0,2.93,3,6,
Bláhová Marie Ing.,59,KDU-ČSL,BEZPP,1741.0,2.70,18,17,
Brzický Jaroslav,55,SOS,BEZPP,1548.0,2.11,30,27,
